ra dec err_maj err_min err_ang designation j_m j_cmsig j_msigcom j_snr h_m h_cmsig h_msigcom h_snr k_m k_cmsig k_msigcom k_snr ph_qual rd_flg bl_flg cc_flg ndet prox pxpa pxcntr gal_contam mp_flg cntr hemis xdate scan glon glat x y z x_scan jdate j_psfchi h_psfchi k_psfchi j_m_stdap j_msig_stdap h_m_stdap h_msig_stdap k_m_stdap k_msig_stdap dist_edge_ns dist_edge_ew dist_edge_flg dup_src use_src a dist_opt phi_opt b_m_opt vr_m_opt nopt_mchs ext_key scan_key coadd_key coadd htm20
56.867993 24.433220 0.31 0.31 135 03472831+2425595 15.067 "" "" "" 14.345 "" "" "" 15.031 0.293 0.293 7.7 UUD 002 001 00c 000026 10.6 95 440352702 0 0 440352700 n 1998-11-21 56 166.425 -23.215 0.4976212339590000 0.7624181053060000 0.4136323732680000 130.6 2451138.7116 "" "" 1.65 "" "" "" "" 14.059 0.199 2089.3 121.7 sw 0 1 0 "" "" "" "" 0 "" 25686 590776 244 17404889842773.0
56.871204 24.432983 0.07 0.07 90 03472908+2425587 8.961 0.011 0.020 7638.9 8.201 0.009 0.017 6144.8 8.015 0.017 0.022 4902.5 AAA 111 111 000 666666 10.6 275 440352700 0 0 440352702 n 1998-11-21 56 166.428 -23.213 0.4975794404190000 0.7624474248860000 0.4136286072760000 120.1 2451138.7116 1.46 1.41 1.99 8.965 0.010 "" "" 8.007 0.009 2088.5 132.2 sw 0 1 U 0.5 171 13.00 10.90 1 "" 25686 590776 244 17404889844260.0
56.863768 24.439997 0.15 0.14 0 03472730+2426239 16.244 0.125 0.125 9.3 15.524 0.154 0.154 7.2 15.030 0.146 0.147 7.7 BBB 222 111 000 160616 28.1 150 440352700 0 0 440352687 n 1998-11-21 56 166.417 -23.212 0.4976507060970000 0.7623404348830000 0.4137400585670000 144.4 2451138.7116 0.73 1.26 1.26 15.865 0.087 15.111 0.168 14.530 0.227 2113.6 107.9 sw 0 1 U 1.3 171 18.60 17.90 2 "" 25686 590776 244 17404889864286.0
56.871317 24.459520 0.25 0.24 45 03472911+2427342 16.530 0.157 0.157 7.2 15.811 0.181 0.181 5.5 15.589 "" "" "" CCU 220 110 000 060500 27.5 336 440352646 0 0 440352659 n 1998-11-21 56 166.409 -23.193 0.4974731833030000 0.7622878905379999 0.4140502431280000 119.7 2451138.7116 1.02 1.23 "" 17.083 0.282 16.143 0.413 "" "" 2184.1 132.6 sw 0 1 0 "" "" "" "" 0 "" 25686 590776 244 17404889894468.0
56.779493 24.450344 0.20 0.20 145 03470707+2427012 16.610 0.120 0.120 8.5 16.163 0.177 0.177 5.9 15.274 "" "" "" BCU 220 110 s00 060600 41.3 280 1175598555 0 0 1175598550 n 2000-09-24 126 166.348 -23.256 0.4987305330030000 0.7615451096160000 0.4139044593510000 -25.4 2451812.0087 1.09 1.16 "" 16.691 0.337 16.264 0.361 "" "" 2159.1 226.7 se 0 1 U 0.3 115 19.30 18.00 1 "" 63193 1453419 32 17404889942527.0
56.798165 24.438698 0.06 0.06 17 03471155+2426193 15.307 0.036 0.038 28.2 14.762 0.063 0.063 21.3 14.543 0.073 0.074 15.3 AAA 222 111 000 662605 15.0 231 1175598521 0 0 1175598530 n 2000-09-24 126 166.370 -23.253 0.4985283870120000 0.7617779797260000 0.4137194181410000 -86.6 2451812.0086 1.11 1.21 1.04 15.397 0.101 14.741 0.071 14.530 0.132 2116.9 165.5 se 0 1 U 0.1 284 19.20 16.80 1 "" 63193 1453419 32 17404890039767.0
56.795362 24.432775 0.06 0.06 163 03471088+2425579 15.460 0.056 0.058 24.5 14.633 0.062 0.062 24.0 14.653 0.082 0.082 13.8 AAA 222 111 c00 664616 12.1 348 1175598521 0 0 1175598514 n 2000-09-24 126 166.372 -23.259 0.4985890725410000 0.7617893712890000 0.4136253020960000 -77.4 2451812.0086 0.99 1.04 1.12 15.383 0.040 14.560 0.177 14.789 0.260 2095.6 174.7 se 0 1 U 0.4 181 19.60 17.60 1 "" 63193 1453419 32 17404890044145.0
56.794628 24.436056 0.06 0.06 0 03471071+2426098 11.755 0.023 0.026 742.0 11.417 0.030 0.032 464.6 11.260 0.022 0.024 314.4 AAA 222 111 000 666666 12.1 168 1175598514 0 0 1175598521 n 2000-09-24 126 166.369 -23.257 0.4985858593400000 0.7617631643570000 0.4136774374970000 -75.0 2451812.0086 0.76 1.08 0.71 11.755 0.006 11.401 0.046 11.280 0.013 2107.4 177.1 se 0 1 U 0.9 134 14.80 13.00 1 "" 63193 1453419 32 17404890045241.0
56.821607 24.462090 0.26 0.23 55 03471718+2427435 16.114 0.076 0.077 13.4 15.731 0.138 0.138 8.7 15.723 0.194 0.194 5.2 ABC 222 111 000 160606 35.8 147 1175598559 0 0 1175598583 n 2000-09-24 126 166.370 -23.222 0.4981241952800000 0.7618404492190000 0.4140910721210000 -163.4 2451812.0087 1.38 1.22 0.92 16.442 0.270 15.317 0.197 16.586 1.031 2200.7 88.7 se 0 1 U 0.7 261 18.20 17.00 1 "" 63193 1453419 32 17404890114298.0
56.813524 24.447985 0.07 0.07 17 03471524+2426527 15.598 0.064 0.066 21.5 15.039 0.073 0.073 16.5 14.911 0.094 0.095 10.9 AAA 222 111 000 660606 33.1 118 1175598537 0 0 1175598545 n 2000-09-24 126 166.375 -23.237 0.4982874505160000 0.7618554589620000 0.4138669790030000 -136.9 2451812.0087 1.12 0.98 0.81 15.461 0.098 15.097 0.090 15.216 0.214 2150.0 115.2 se 0 1 U 0.1 67 18.40 17.00 1 "" 63193 1453419 32 17404890122074.0
