ra dec err_maj err_min err_ang designation j_m j_cmsig j_msigcom j_snr h_m h_cmsig h_msigcom h_snr k_m k_cmsig k_msigcom k_snr ph_qual rd_flg bl_flg cc_flg ndet prox pxpa pxcntr gal_contam mp_flg cntr hemis xdate scan glon glat x y z x_scan jdate j_psfchi h_psfchi k_psfchi j_m_stdap j_msig_stdap h_m_stdap h_msig_stdap k_m_stdap k_msig_stdap dist_edge_ns dist_edge_ew dist_edge_flg dup_src use_src a dist_opt phi_opt b_m_opt vr_m_opt nopt_mchs ext_key scan_key coadd_key coadd htm20
301.275984 36.478691 0.06 0.06 45 20050623+3628432 14.416 0.029 0.031 45.3 14.041 0.038 0.039 28.4 13.884 0.052 0.052 22.0 AAA 222 111 000 555636 9.4 45 1111062120 0 0 1111062099 n 2000-05-19 76 73.143 2.580 0.4174458823660000 -0.6872266064400000 0.5945237814390000 42.0 2451683.8777 1.24 1.17 0.97 14.489 0.025 14.171 0.102 13.990 0.103 2244.0 211.0 sw 0 1 U 0.4 212 17.60 16.50 1 "" 59643 1371769 32 14040825337417.0
301.279521 36.481712 0.16 0.16 45 20050708+3628541 16.024 0.110 0.110 10.3 15.581 0.142 0.142 6.9 15.264 "" "" "" BCU 226 210 cc0 250600 5.5 220 1111062120 0 0 1111062138 n 2000-05-19 76 73.147 2.579 0.4174720292250000 -0.6871740436600000 0.5945661767490000 31.7 2451683.8777 1.21 0.92 "" 15.451 0.219 15.440 0.122 "" "" 2254.8 221.3 sw 0 1 U 0.4 336 19.30 16.80 1 "" 59643 1371769 32 14040825338603.0
301.278305 36.480530 0.08 0.08 90 20050679+3628499 14.221 0.037 0.038 54.2 13.807 0.038 0.039 35.2 13.581 "" "" "" AAU 226 210 c00 556600 5.5 40 1111062138 0 0 1111062120 n 2000-05-19 76 73.146 2.579 0.4174638133440000 -0.6871933864660000 0.5945495893070000 35.2 2451683.8777 0.96 0.89 "" 14.169 0.035 13.869 0.066 "" "" 2250.5 217.7 sw 0 1 U 0.7 202 17.60 16.00 1 "" 59643 1371769 32 14040825339024.0
301.276791 36.483177 0.20 0.17 85 20050642+3628594 16.460 0.137 0.138 6.9 15.536 "" "" "" 15.219 "" "" "" CUU 200 100 000 050000 9.5 124 1111062138 0 0 1111062157 n 2000-05-19 76 73.147 2.582 0.4174313937670000 -0.6871809410350000 0.5945867352840000 39.6 2451683.8777 1.19 "" "" 16.690 0.404 "" "" "" "" 2260.1 213.4 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040825339199.0
301.284373 36.474880 0.06 0.06 90 20050824+3628295 12.973 0.034 0.036 171.1 12.190 0.038 0.039 155.9 11.895 0.030 0.031 137.5 AAA 222 211 c00 556666 5.4 174 1111062062 0 0 1111062076 n 2000-05-19 76 73.143 2.572 0.4175670325940000 -0.6871992716420000 0.5944702972780000 17.7 2451683.8777 0.88 1.37 1.51 12.932 0.007 12.156 0.029 11.859 0.017 2230.1 235.3 sw 0 1 U 0.8 329 18.10 15.10 1 "" 59643 1371769 32 14040825343541.0
301.280386 36.477493 0.07 0.07 45 20050729+3628389 15.982 0.096 0.097 10.7 14.838 0.087 0.087 13.6 14.485 0.080 0.081 12.7 AAA 222 111 000 062605 12.5 331 1111062120 0 0 1111062094 n 2000-05-19 76 73.144 2.576 0.4175051347120000 -0.6872051560710000 0.5945069688060000 29.2 2451683.8777 1.58 1.22 1.20 16.021 0.206 14.759 0.143 14.599 0.128 2239.6 223.8 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040825344388.0
301.282177 36.481087 0.06 0.06 90 20050772+3628519 14.031 0.027 0.030 64.6 13.750 0.035 0.036 37.1 13.613 0.040 0.040 28.3 AAA 222 111 000 666644 8.0 286 1111062138 0 0 1111062127 n 2000-05-19 76 73.148 2.577 0.4175072510810000 -0.6871602333910000 0.5945574059249999 24.0 2451683.8777 0.91 0.78 1.17 14.053 0.035 13.784 0.047 13.679 0.111 2252.5 229.0 sw 0 1 U 0.6 198 17.00 15.80 1 "" 59643 1371769 32 14040825347146.0
301.261944 36.480461 0.16 0.14 86 20050286+3628496 16.167 0.113 0.113 9.0 15.447 0.124 0.124 7.8 15.478 "" "" "" BBU 220 110 000 060600 12.7 347 1111062163 0 0 1111062119 n 2000-05-19 76 73.138 2.591 0.4172679375450000 -0.6873131786659999 0.5945486209970000 82.6 2451683.8777 1.10 0.78 "" 16.567 0.335 15.440 0.251 "" "" 2250.6 170.4 sw 0 1 U 0.2 216 19.00 17.90 1 "" 59643 1371769 32 14040825350397.0
301.269409 36.481548 0.09 0.09 45 20050465+3628535 13.869 "" "" "" 14.944 0.089 0.089 12.3 14.679 0.111 0.111 10.6 UAB 622 021 0cc 006655 4.8 278 1111062140 0 0 1111062135 n 2000-05-19 76 73.143 2.586 0.4173516283270000 -0.6872491662640000 0.5945638752920001 61.0 2451683.8777 "" 0.88 1.17 "" "" 13.307 0.161 12.799 0.119 2254.3 192.0 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040825357200.0
301.267754 36.481724 0.08 0.08 135 20050426+3628542 12.423 "" "" "" 11.700 0.031 0.032 244.9 11.479 0.024 0.025 201.8 UAA 622 021 0c0 006655 4.8 98 1111062135 0 0 1111062140 n 2000-05-19 76 73.142 2.587 0.4173308288670000 -0.6872596601680000 0.5945663451490000 65.8 2451683.8777 "" 0.75 1.37 "" "" 11.710 0.007 11.485 0.018 2255.0 187.2 sw 0 1 U 0.4 155 17.30 14.70 1 "" 59643 1371769 32 14040825359883.0
