ra dec err_maj err_min err_ang designation j_m j_cmsig j_msigcom j_snr h_m h_cmsig h_msigcom h_snr k_m k_cmsig k_msigcom k_snr ph_qual rd_flg bl_flg cc_flg ndet prox pxpa pxcntr gal_contam mp_flg cntr hemis xdate scan glon glat x y z x_scan jdate j_psfchi h_psfchi k_psfchi j_m_stdap j_msig_stdap h_m_stdap h_msig_stdap k_m_stdap k_msig_stdap dist_edge_ns dist_edge_ew dist_edge_flg dup_src use_src a dist_opt phi_opt b_m_opt vr_m_opt nopt_mchs ext_key scan_key coadd_key coadd htm20
301.265698 36.476318 0.06 0.06 45 20050376+3628347 14.687 0.038 0.040 35.3 14.245 0.053 0.053 23.5 14.157 0.070 0.070 17.1 AAA 222 111 000 665516 14.8 240 1111062067 0 0 1111062084 n 2000-05-19 76 73.137 2.586 0.4173352808430000 -0.6873225837250000 0.5944904787000000 71.7 2451683.8777 0.83 1.12 0.87 14.738 0.067 14.284 0.091 14.396 0.151 2235.6 181.2 sw 0 1 U 0.4 209 17.60 16.10 1 "" 59643 1371769 32 14040825361193.0
301.272363 36.472557 0.23 0.19 91 20050536+3628212 16.145 0.114 0.114 9.2 15.781 0.164 0.165 5.7 15.489 "" "" "" BCU 220 110 000 060600 11.1 246 1111062044 0 0 1111062057 n 2000-05-19 76 73.136 2.579 0.4174354880800000 -0.6873073842710000 0.5944376946470000 52.4 2451683.8777 1.07 1.02 "" 16.024 0.228 15.683 0.206 "" "" 2221.9 200.5 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040825396320.0
301.290368 36.483902 0.17 0.16 2 20050968+3629020 16.433 0.145 0.146 7.1 15.762 "" "" "" 15.592 "" "" "" BUU 200 100 000 060000 7.2 124 1111062153 0 0 1111062162 n 2000-05-19 76 73.154 2.573 0.4175903110950000 -0.6870755764100001 0.5945969091590000 0.3 2451683.8777 0.84 "" "" 16.768 0.307 "" "" "" "" 2262.5 252.7 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040825856919.0
301.292410 36.482784 0.12 0.11 178 20051017+3628580 15.857 0.096 0.097 12.0 15.508 0.148 0.148 7.3 15.096 0.149 0.150 7.2 ABB 222 111 000 060506 7.2 304 1111062162 0 0 1111062153 n 2000-05-19 76 73.153 2.571 0.4176208241370000 -0.6870706075150000 0.5945812203020000 -5.6 2451683.8777 1.01 0.97 0.84 16.075 0.149 15.379 0.094 15.589 0.300 2258.4 248.1 se 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040825859351.0
301.284574 36.473400 0.08 0.08 45 20050829+3628242 14.224 0.040 0.042 54.0 13.155 "" "" "" 13.552 0.053 0.053 29.9 AUA 262 301 c0c 550066 5.3 217 1111062054 0 0 1111062062 n 2000-05-19 76 73.142 2.571 0.4175774172640000 -0.6872109294860000 0.5944495260210000 17.1 2451683.8777 0.87 "" 1.63 13.926 0.046 "" "" 13.010 0.081 2224.8 235.9 sw 0 1 U 4.6 178 18.10 15.10 1 "" 59643 1371769 32 14040825860721.0
301.293155 36.488430 0.07 0.07 45 20051035+3629183 15.315 0.066 0.068 19.8 14.868 0.088 0.088 13.2 14.495 0.089 0.090 12.5 AAA 222 111 000 662636 18.2 206 1111062162 0 0 1111062205 n 2000-05-19 76 73.159 2.574 0.4175993227900000 -0.6870151068590000 0.5946604481160001 -7.8 2451683.8777 1.52 1.25 1.69 15.053 0.083 14.619 0.078 14.154 0.111 2278.7 245.9 se 0 1 U 1.0 183 18.80 16.70 1 "" 59643 1371769 32 14040831623860.0
301.279119 36.491211 0.06 0.06 90 20050698+3629283 14.424 0.037 0.038 45.0 14.009 0.054 0.055 29.2 13.794 0.047 0.048 23.9 AAA 222 111 000 666666 13.3 264 1111062220 0 0 1111062227 n 2000-05-19 76 73.155 2.585 0.4174160225500000 -0.6870927185370000 0.5946994705320000 32.9 2451683.8777 1.32 1.82 1.12 14.367 0.033 13.746 0.086 13.681 0.047 2289.0 220.1 sw 0 1 U 0.4 229 17.00 15.70 1 "" 59643 1371769 32 14040833463711.0
301.275127 36.487110 0.11 0.11 45 20050603+3629135 14.339 "" "" "" 13.622 "" "" "" 13.837 0.056 0.057 23.0 UUA 662 002 00c 000066 3.5 218 1111062184 0 0 1111062190 n 2000-05-19 76 73.150 2.585 0.4173902464360000 -0.6871581786090000 0.5946419256580000 44.4 2451683.8777 "" "" 0.85 "" "" "" "" 13.069 0.029 2274.3 208.6 sw 0 1 U 3.2 51 17.30 15.70 1 "" 59643 1371769 32 14040833468898.0
301.274381 36.486336 0.11 0.11 135 20050585+3629108 13.840 "" "" "" 13.162 "" "" "" 13.242 0.054 0.055 39.8 UUA 662 002 00c 000066 3.5 38 1111062190 0 0 1111062184 n 2000-05-19 76 73.149 2.585 0.4173854696460000 -0.6871704786460000 0.5946310646160000 46.6 2451683.8777 "" "" 1.05 "" "" "" "" 12.823 0.034 2271.5 206.4 sw 0 1 U 0.8 157 17.30 15.70 1 "" 59643 1371769 32 14040833469720.0
301.280230 36.487488 0.19 0.18 92 20050725+3629149 16.362 0.134 0.135 7.5 15.579 0.150 0.150 6.9 15.855 "" "" "" BCU 220 110 000 060600 13.8 347 1111062227 0 0 1111062197 n 2000-05-19 76 73.152 2.582 0.4174494089850000 -0.6871176485660000 0.5946472298490000 29.6 2451683.8777 1.56 0.85 "" 16.094 0.083 16.027 0.393 "" "" 2275.6 223.3 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040833472179.0
301.264871 36.495689 0.06 0.06 90 20050356+3629444 13.350 0.021 0.025 120.9 12.149 0.027 0.028 161.9 11.758 0.019 0.021 156.0 AAA 222 111 000 666655 13.7 223 1111062241 0 0 1111062261 n 2000-05-19 76 73.153 2.597 0.4172210234260000 -0.6871567665250000 0.5947623019580000 74.1 2451683.8777 0.95 0.75 1.17 13.351 0.016 12.199 0.031 11.790 0.024 2305.3 178.9 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040833479121.0
301.268266 36.498665 0.06 0.06 90 20050438+3629551 14.863 0.045 0.047 30.0 14.404 0.055 0.056 20.3 14.170 0.065 0.065 16.9 AAA 222 111 000 662516 14.4 112 1111062271 0 0 1111062284 n 2000-05-19 76 73.157 2.596 0.4172457042220000 -0.6871056371120000 0.5948040566080000 64.3 2451683.8777 0.57 0.63 1.25 14.944 0.067 14.589 0.122 14.336 0.226 2316.0 188.7 sw 0 1 U 0.2 224 17.80 16.80 1 "" 59643 1371769 32 14040833480145.0
301.274247 36.500843 0.06 0.06 45 20050581+3630030 15.033 0.043 0.044 25.7 13.837 0.043 0.044 34.2 13.427 0.044 0.045 33.5 AAA 222 111 000 666655 13.8 197 1111062271 0 0 1111062298 n 2000-05-19 76 73.161 2.593 0.4173056894530000 -0.6870427523929999 0.5948346139339999 47.0 2451683.8777 0.93 1.27 1.39 15.080 0.033 13.818 0.083 13.442 0.078 2323.7 206.0 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040833484108.0
301.272870 36.497177 0.08 0.08 135 20050548+3629498 15.275 0.071 0.072 20.5 14.631 0.084 0.084 16.5 14.015 "" "" "" AAU 226 220 cc0 666600 5.1 117 1111062269 0 0 1111062271 n 2000-05-19 76 73.157 2.592 0.4173089340260000 -0.6870853098310000 0.5947831794839999 50.9 2451683.8777 1.87 1.78 "" 14.911 0.081 14.196 0.035 "" "" 2310.6 202.0 sw 0 1 U 0.9 120 19.40 17.60 1 "" 59643 1371769 32 14040833485710.0
301.261628 36.492935 0.06 0.06 45 20050279+3629345 14.905 0.050 0.051 28.9 13.761 0.044 0.045 36.7 13.444 0.042 0.043 33.0 AAA 222 111 000 556666 6.0 185 1111062228 0 0 1111062241 n 2000-05-19 76 73.149 2.597 0.4171969641790000 -0.6872048170340000 0.5947236606400000 83.5 2451683.8777 0.79 0.98 1.14 14.890 0.086 13.766 0.042 13.515 0.082 2295.5 169.5 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040833500109.0
301.261637 36.489388 0.14 0.14 135 20050279+3629217 15.989 0.101 0.102 10.6 15.228 0.124 0.124 9.5 15.381 0.180 0.180 5.5 ABC 222 111 000 261606 6.8 356 1111062228 0 0 1111062214 n 2000-05-19 76 73.146 2.596 0.4172161776290000 -0.6872362219840000 0.5946738907320001 83.5 2451683.8777 0.90 1.43 1.04 15.713 0.118 14.910 0.149 15.313 0.301 2282.7 169.5 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040833502378.0
301.261457 36.491268 0.09 0.08 3 20050274+3629285 15.750 0.102 0.103 13.3 15.153 0.118 0.118 10.2 14.909 0.138 0.139 8.6 ABB 222 111 0cc 250606 6.0 5 1111062241 0 0 1111062228 n 2000-05-19 76 73.147 2.597 0.4172038924600000 -0.6872208528450000 0.5947002703299999 84.0 2451683.8777 1.01 0.94 1.04 15.493 0.039 15.146 0.117 14.727 0.217 2289.5 169.0 sw 0 1 U 0.2 206 19.10 17.60 1 "" 59643 1371769 32 14040833502863.0
301.263958 36.486359 0.27 0.24 81 20050334+3629108 16.193 0.106 0.107 8.8 16.621 "" "" "" 15.477 0.190 0.190 5.1 BUC 202 101 000 060006 12.4 225 1111062163 0 0 1111062185 n 2000-05-19 76 73.144 2.592 0.4172603317830000 -0.6872461921940000 0.5946313873620001 76.8 2451683.8777 1.18 "" 1.15 16.866 0.336 "" "" 16.412 1.361 2271.8 176.2 sw 0 1 U 0.8 191 19.40 17.90 1 "" 59643 1371769 32 14040833503930.0
301.260943 36.483898 0.06 0.06 45 20050262+3629020 14.759 0.037 0.038 33.0 14.201 0.052 0.052 24.5 14.049 0.067 0.067 18.9 AAA 222 111 000 666646 12.4 45 1111062185 0 0 1111062163 n 2000-05-19 76 73.141 2.593 0.4172374208980000 -0.6872899802650000 0.5945968530270000 85.5 2451683.8777 1.97 1.39 1.37 14.695 0.079 14.117 0.092 13.908 0.100 2262.9 167.5 sw 0 1 U 0.4 236 18.00 16.40 1 "" 59643 1371769 32 14040833505813.0
301.272574 36.487377 0.17 0.16 2 20050541+3629145 16.023 0.126 0.127 10.3 14.514 "" "" "" 14.309 "" "" "" BUU 200 100 c00 560000 6.4 126 1111062184 0 0 1111062195 n 2000-05-19 76 73.149 2.587 0.4173581889680000 -0.6871744076650000 0.5946456722720000 51.8 2451683.8777 2.07 "" "" 15.341 0.082 "" "" "" "" 2275.3 201.2 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040833515094.0
301.274435 36.496529 0.18 0.17 178 20050586+3629475 16.252 0.122 0.122 8.3 15.600 0.140 0.140 6.7 14.900 "" "" "" BCU 226 220 cc0 060600 5.1 297 1111062271 0 0 1111062269 n 2000-05-19 76 73.157 2.591 0.4173311933250000 -0.6870796603520000 0.5947740877070000 46.4 2451683.8777 0.81 1.16 "" 15.863 0.107 15.386 0.298 "" "" 2308.2 206.6 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040833517278.0
301.274552 36.490799 0.16 0.16 135 20050589+3629268 16.204 0.118 0.118 8.7 15.433 0.135 0.135 7.9 14.961 "" "" "" BBU 220 110 000 060500 13.3 84 1111062227 0 0 1111062220 n 2000-05-19 76 73.153 2.588 0.4173634736280000 -0.6871296431710000 0.5946936895220000 46.1 2451683.8777 1.27 1.04 "" 16.105 0.160 15.248 0.205 "" "" 2287.6 206.9 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040833519867.0
301.271510 36.494156 0.08 0.08 45 20050516+3629389 16.281 0.121 0.121 8.1 14.860 0.083 0.083 13.3 14.394 0.069 0.069 13.8 BAA 222 111 000 063606 11.6 20 1111062271 0 0 1111062251 n 2000-05-19 76 73.154 2.591 0.4173089035380000 -0.6871220187150000 0.5947407926360000 54.9 2451683.8777 1.28 0.79 1.00 17.454 0.674 14.609 0.110 14.679 0.180 2299.7 198.1 sw 0 1 0 "" "" "" "" 0 "" 59643 1371769 32 14040833521235.0
