gaia_designation gaia_ra gaia_dec ra_error dec_error parallax parallax_error pmra pmra_error pmdec pmdec_error phot_g_mean_mag bp_rp bp_g g_rp phot_g_n_obs phot_g_mean_flux_over_error phot_g_mean_flux_error phot_g_mean_flux phot_bp_mean_mag phot_rp_mean_mag 2mass_designation 2mass_ra 2mass_dec err_maj err_min j_m h_m k_m j_cmsig h_cmsig k_cmsig k_snr allwise_designation allwise_ra allwise_dec sigra sigdec w1mpro w2mpro w3mpro w4mpro w1sigmpro w2sigmpro w3sigmpro w4sigmpro w4snr variability radial_distance
"Gaia DR2 2059895761458180096" 301.27223683229914 36.47270083609171 0.19953927200110186 0.24851422956471717 0.5736459418710231 0.2773563366789417 -8.240238196709134 0.4702692384751452 -1.965372507365307 0.5758149365122347 19.06249237060547 2.0461997985839844 0.8931427001953125 1.1530570983886719 253 370.6510314941406 1.2061020305394663 447.042950602993 19.95563507080078 17.909435272216797 20050536+3628212 301.272363 36.472557 0.23 0.19 16.145 15.781 15.489 0.114 0.164 0.000 0.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.826185662553044 1743.2355517732174
"Gaia DR2 2059895933258350464" 301.2744637728933 36.496522384525036 0.17810697023220237 0.2148908210562672 1.3318777781011129 0.23624258065083584 -1.1290699974712792 0.3589000996363273 -11.301511632949074 0.43340969315981415 19.007646560668945 2.3450584411621094 1.1350364685058594 1.21002197265625 242 419.5200500488281 1.1208174687123913 470.20540178300797 20.142683029174805 17.797624588012695 20050586+3629475 301.274435 36.496529 0.18 0.17 16.252 15.600 14.900 0.122 0.140 0.000 0.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.759506197611271 750.8196445966099
"Gaia DR2 2059896586093377664" 301.2616055534132 36.492925623883025 0.14114148956400802 0.16738551940397037 0.16271945522972756 0.18599018016857904 -3.0786416602038758 0.2921819830101555 -3.9623302529965487 0.34273624093485183 18.6849308013916 2.9314708709716797 1.5798530578613281 1.3516178131103516 256 559.4598388671875 1.1313719217333325 632.9571875373621 20.26478385925293 17.33331298828125 20050279+3629345 301.261628 36.492935 0.06 0.06 14.905 13.761 13.444 0.050 0.044 0.042 33.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.6764497252151375 6145.5466317054625
"Gaia DR2 2059895933256914048" 301.27254961239635 36.48738466517962 0.14811273082297463 0.17961923166395113 0.1726246839219072 0.19406313924990248 -2.299144154038253 0.32865533577147393 -3.5430879762005874 0.37667480490346233 18.87906837463379 1.9469490051269531 0.7370796203613281 1.209869384765625 260 514.0513916015625 1.0297044043095085 529.3209774905694 19.616147994995117 17.669198989868164 20050541+3629145 301.272574 36.487377 0.17 0.16 16.023 14.514 14.309 0.126 0.000 0.000 0.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.7111863367213676 5792.914299859834
"Gaia DR2 2059895864537421056" 301.2923861637041 36.48274800322168 0.12458464249655121 0.16225356489250872 0.6910698079026893 0.168052266198824 -4.317497094734972 0.276373488215242 -5.329732117202626 0.31777467960630107 18.675674438476562 1.9702167510986328 0.91082763671875 1.0593891143798828 271 570.7295532226562 1.1185260640068733 638.3758780885591 19.586502075195312 17.61628532409668 20051017+3628580 301.292410 36.482784 0.12 0.11 15.857 15.508 15.096 0.096 0.148 0.149 7.2 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.6890797137980103 1447.0318172846753
"Gaia DR2 2059895765792964864" 301.2759769147689 36.47870219332087 0.03726833386644777 0.04442491096624235 0.2741136688031666 0.04923155431872543 -2.543713826099313 0.08589307563656357 -2.4838205510731943 0.09447928698904849 16.449777603149414 1.5560903549194336 0.7071094512939453 0.8489809036254883 250 1720.36474609375 2.882801655155483 4959.470273636036 17.15688705444336 15.600796699523926 20050623+3628432 301.275984 36.478691 0.06 0.06 14.416 14.041 13.884 0.029 0.038 0.052 22.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.38120600838040475 3648.121614533831
"Gaia DR2 2059895937591658752" 301.276751518006 36.48312912017084 0.1458793737244438 0.18534077433732477 0.22813104056477806 0.19839090599711875 -3.5452020415703314 0.32291819489004703 -7.1795734132204085 0.3869885008101475 18.832983016967773 1.9096221923828125 0.8412361145019531 1.0683860778808594 286 480.3350524902344 1.1497632982233332 552.2716137711973 19.674219131469727 17.764596939086914 20050642+3628594 301.276791 36.483177 0.20 0.17 16.460 15.536 15.219 0.137 0.000 0.000 0.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.7716331487655377 4383.445573755882
"Gaia DR2 2059895864537400832" 301.2843750279819 36.474876719448055 0.031147560737906938 0.037345401774037904 0.21089061849311552 0.04076044693198538 -2.55452707995673 0.06935809876398322 -4.626691236759462 0.07719738097960806 16.067829132080078 2.417605400085449 1.2801170349121094 1.1374883651733398 238 1841.3394775390625 3.828960534323249 7050.41633523045 17.347946166992188 14.930340766906738 20050824+3628295 301.284373 36.474880 0.06 0.06 12.973 12.190 11.895 0.034 0.038 0.030 137.5 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3595187510444206 4741.7946191506135
"Gaia DR2 2059895937591662976" 301.27906476925847 36.49117373639978 0.0399464392106488 0.047156808276933686 0.4974597168641271 0.052743248461696306 0.7495424827313408 0.0907753055869102 -0.829937781047445 0.09951986462157741 16.587923049926758 1.5546903610229492 0.6262645721435547 0.9284257888793945 248 1654.7940673828125 2.6389596730972538 4366.934950645182 17.214187622070312 15.659497261047363 20050698+3629283 301.279119 36.491211 0.06 0.06 14.424 14.009 13.794 0.037 0.054 0.047 23.9 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.3871273572225069 2010.2130204708283
"Gaia DR2 2059896689172598144" 301.2742320103573 36.50081459690559 0.17793142212374663 0.21272785408137082 0.01472693952966662 0.2308473025047236 -3.3327656098655916 0.3692150071780311 -4.516028714581897 0.440568124041724 19.000167846679688 2.948240280151367 1.5587654113769531 1.389474868774414 241 388.7038879394531 1.2180364668801278 473.4554973254798 20.55893325805664 17.610692977905273 20050581+3630030 301.274247 36.500843 0.06 0.06 15.033 13.837 13.427 0.043 0.043 0.044 33.5 "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.7874066512788016 67902.77083609629
"Gaia DR2 2059895937563734784" 301.273096584786 36.49709436103138 0.1654122232921151 0.20422817126058188 -0.14030899781314804 0.21675466136293337 -3.3389279166997468 0.33875868995818437 -6.4204925496575065 0.41427190022086846 18.898452758789062 2.186433792114258 0.8980903625488281 1.2883434295654297 261 447.9222717285156 1.1608144499001982 519.9546346494083 19.79654312133789 17.610109329223633 "" "" "" "" "" "" "" "" "" "" "" "" J200505.50+362949.7 301.2729404 36.4971657 0.0888 0.0893 13.800 13.931 12.290 9.493 0.043 0.045 0.000 0.000 -0.6 0.7633415898854298 -7127.126667469449
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 20051035+3629183 301.293155 36.488430 0.07 0.07 15.315 14.868 14.495 0.066 0.088 0.089 12.5 J200510.36+362918.2 301.2931739 36.4884044 0.0920 0.0922 14.290 14.863 12.517 8.578 0.040 0.064 0.000 0.000 1.9 "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 20050698+3629283 301.279119 36.491211 0.06 0.06 14.424 14.009 13.794 0.037 0.054 0.047 23.9 J200506.99+362928.2 301.2791463 36.4911942 0.0693 0.0695 13.531 13.690 12.517 9.318 0.033 0.040 0.000 0.000 -0.1 "" ""
"" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 20050516+3629389 301.271510 36.494156 0.08 0.08 16.281 14.860 14.394 0.121 0.083 0.069 13.8 J200505.16+362938.9 301.2715023 36.4941467 0.1020 0.1057 14.131 14.396 11.566 8.751 0.049 0.049 0.000 0.000 1.7 "" ""
"Gaia DR2 2059895834513245568" 301.27060009035904 36.47607539332551 1.1755150567043338 1.7605834879320337 0.0 0.0 0.0 0.0 0.0 0.0 21.01166343688965 0.0 0.0 0.0 115 68.0067367553711 1.0917653100343916 74.2473979269406 0.0 0.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.300387996886859 ""
"Gaia DR2 2059895937563705088" 301.2730859672824 36.48843314885145 0.5464789839108799 0.803139525812844 0.34897818145042353 0.8176310178472341 -5.820848261397284 1.232181427743349 -9.723299602339676 2.3266627057836864 20.527503967285156 2.0317440032958984 0.8078861236572266 1.2238578796386719 224 146.9882049560547 0.7889730889297867 115.96973673577631 21.335390090942383 19.303646087646484 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 1.2344763268893157 2865.5086568558495
